year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_US_Post,No
2011,10,29,2,3,,,,4,100,1023,4,NW,1.78,0,0,285,12152
2012,4,11,21,1,,,,-3,26,1011,16,SE,17.88,0,0,40,12153
2013,11,14,7,3,17,17,17,-8,41,1019,4,NW,25.49,0,0,14,12154
2015,9,10,20,3,14,,3,12,87,1021,14,NW,52.74,0.1,2.3,10,12155
2014,9,24,5,3,8,9,15,16,93,1016,17,NW,0.89,0,0,9,12156
2014,7,26,19,2,65,60,56,16,38,1007,32,SE,29.5,0,0,57,12157
2011,11,7,17,3,,,,1,43,1026,13,SE,4.92,0,0,56,12158
2013,8,29,20,2,14,10,10,8,35,1006,24,NW,141.71,0,0,12,12159
2011,9,9,21,3,,,,10,55,1022,19,SE,1.79,0,0,19,12160
2011,10,24,8,3,,,,1,70,1030,6,NW,13.42,0,0,18,12161
2010,5,1,7,1,,,,2,47,1009,13,NW,5.36,0,0,89,12162
2011,1,24,7,4,,,,-22,55,1034,-15,NW,8.05,0,0,43,12163
2011,4,3,13,1,,,,-13,11,1024,17,cv,1.79,0,0,167,12164
2013,9,23,9,3,7,5,3,7,55,1018,16,NW,36.65,0.1,0.3,8,12165
2012,3,10,15,1,,,,-23,11,1026,5,NW,83.59,0,0,14,12166
2014,10,20,21,3,134,,169,13,87,1022,15,SE,4.47,0,0,143,12167
2011,2,22,9,4,,,,-4,80,1023,-1,NE,1.79,0,0,347,12168
2012,4,3,21,1,,,,-16,9,1012,17,NW,46.49,0,0,27,12169
2015,12,30,12,4,10,8,10,-11,28,1031,6,NW,23.24,0,0,9,12170
2011,7,30,0,2,,,,22,100,1006,22,SE,1.79,11.4,21.3,36,12171
2014,8,15,22,2,39,32,30,19,83,1007,22,SE,1.79,0,0,33,12172
2012,11,3,1,3,,,,7,93,1021,8,cv,1.79,0,0,206,12173
2010,7,4,0,2,,,,22,65,1000,29,SE,34.86,0,0,94,12174
2010,2,12,4,4,,,,-23,28,1037,-8,NW,3.13,0,0,10,12175
2012,7,20,13,2,,,,25,66,1004,32,SE,8.05,0,0,220,12176
2012,12,13,19,4,,,,-5,74,1026,-1,NW,36.68,0,0,206,12177
2013,9,21,16,3,41,31,24,10,32,1014,28,SE,16.09,0,0,37,12178
2012,2,27,0,4,,,,-12,46,1028,-2,SE,19.23,0,0,161,12179
2015,11,14,7,3,236,,240,5,,,6,SE,0.89,0,0,228,12180
2013,12,31,9,4,39,26,41,-19,14,1013,6,NW,27.26,0,0,48,12181
2014,12,20,3,4,3,11,11,-18,32,1031,-4,NW,200.26,0,0,11,12182
2014,11,18,7,3,23,61,37,-7,63,1030,-1,NW,13.86,0,0,40,12183
2014,2,25,17,4,,,,-4,42,1024,8,cv,2.68,0,0,482,12184
2015,12,21,18,4,287,,209,-5,55,1027,3,NW,3.58,,,211,12185
2015,2,25,2,4,243,234,228,-3,86,1016,-1,NW,4.92,0,0,226,12186
2011,12,28,20,4,,,,-6,79,1034,-3,SE,22.35,0,0,104,12187
2013,3,27,20,1,16,11,3,-19,10,1014,11,NW,56.77,0,0,15,12188
2013,5,23,6,1,66,99,63,7,48,1012,18,NW,1.79,0,0,50,12189
2015,5,6,23,1,41,86,50,-3,26,1012,16,cv,0.89,0,0,55,12190
2010,10,26,6,3,,,,-10,46,1042,0,NW,18.34,0,0,5,12191
2012,1,23,7,4,,,,-22,55,1030,-15,cv,0.45,0,0,141,12192
2015,9,13,4,3,30,,18,11,87,1017,13,cv,0.89,0,0,25,12193
2010,3,22,2,1,,,,-3,52,1011,6,NE,0.89,0,0,90,12194
2010,4,6,9,1,,,,-16,13,1028,11,NW,45.15,0,0,19,12195
2015,4,20,17,1,65,67,66,-1,21,1010,22,SE,32.19,0,0,57,12196
2013,6,26,15,2,102,102,109,21,55,995,31,SE,18.78,0,0,87,12197
2015,4,26,8,1,131,183,144,13,64,1012,20,NE,1.78,0,0,134,12198
2013,4,5,16,1,13,14,18,-9,20,1017,13,NW,67.06,0,0,11,12199
2011,9,10,9,3,,,,12,87,1026,14,NW,25.93,0.7,5.2,10,12200
2013,10,6,19,3,219,213,159,13,77,1020,17,cv,0.89,0,0,206,12201
2011,9,2,23,3,,,,19,83,1010,22,SE,22.35,0,0,47,12202
2013,6,6,12,2,,152,140,18,93,1011,19,cv,0.89,0,0,158,12203
2013,6,22,10,2,52,61,63,20,94,1010,21,NW,4.92,1.2,4.3,63,12204
2010,8,24,16,2,,,,18,51,1012,29,SE,24.59,0,0,70,12205
2010,12,22,23,4,,,,-19,22,1027,0,NE,30.4,0,0,10,12206
2014,4,21,11,1,83,55,10,-5,15,1018,22,NE,1.79,0,0,23,12207
2012,10,22,16,3,,,,-3,25,1019,17,NW,76.46,0,0,11,12208
2011,4,12,9,1,,,,-4,26,1016,15,cv,1.78,0,0,88,12209
2015,11,21,11,3,38,,35,0,100,1033,0,cv,0.89,0.3,2.1,43,12210
2015,12,13,14,4,224,,223,-4,55,1026,4,SE,1.79,0,0,234,12211
2010,3,3,1,1,,,,-5,69,1025,0,SE,0.89,0,0,92,12212
2015,4,16,15,1,14,18,,-12,10,1010,20,NW,209.22,0,0,1,12213
2011,10,29,23,3,,,,6,93,1021,7,cv,0.89,0,0,350,12214
2013,10,19,13,3,3,11,19,-7,15,1025,20,NW,57.67,0,0,17,12215
2011,4,25,23,1,,,,7,76,1004,11,SE,37.55,0,0,103,12216
2014,10,1,4,3,61,82,76,7,76,1018,11,SE,2.68,0,0,80,12217
2014,11,26,18,3,285,423,357,1,75,1018,5,SE,3.57,0,0,388,12218
2014,1,1,0,4,66,46,58,-20,12,1014,7,NW,143.48,0,0,53,12219
2013,6,27,13,2,29,,33,14,31,998,33,SE,3.13,0,0,26,12220
2013,4,29,6,1,17,10,7,1,61,1013,8,cv,1.78,0,0,21,12221
2015,7,4,2,2,16,3,17,13,64,1010,20,SE,41.57,0,0,19,12222
2012,11,11,17,3,,,,-11,30,1015,5,NW,229.3,0,0,14,12223
2015,3,30,21,1,191,195,181,9,52,1009,19,SE,15.65,0,0,190,12224
2014,11,6,15,3,5,9,8,-15,13,1029,12,NE,55.88,0,0,7,12225
2011,11,24,20,3,,,,-6,68,1028,-1,cv,1.34,0,0,290,12226
2015,10,3,14,3,20,,21,8,35,1020,24,SE,4.02,0,0,17,12227
2012,9,22,1,3,,,,16,82,1011,19,SE,0.89,0,0,54,12228
2015,8,10,1,2,87,97,78,23,88,1010,25,cv,0.89,,,90,12229
2010,1,17,5,4,,,,-14,72,1030,-10,NW,6.71,0,0,208,12230
2014,2,3,18,4,5,3,8,-33,6,1027,-1,NW,118.04,0,0,6,12231
2011,10,20,15,3,,,,12,72,1019,17,SE,12.08,0,0,293,12232
2010,7,2,6,2,,,,19,88,1000,21,NW,29.95,0,0,17,12233
2014,5,16,14,1,8,26,15,2,17,1007,29,NE,3.13,0,0,49,12234
2010,10,19,2,3,,,,6,93,1025,7,cv,0.89,0,0,45,12235
2011,8,26,3,2,,,,21,94,1015,22,cv,1.34,0,0,114,12236
2015,2,1,12,4,48,149,39,-20,20,1036,0,cv,0.89,0,0,34,12237
2011,5,15,7,1,,,,-3,19,1010,21,NE,10.73,0,0,16,12238
2012,11,18,20,3,,,,-9,30,1020,7,NW,38.89,0,0,12,12239
2012,12,18,23,4,,,,-12,62,1032,-6,cv,0.89,0,0,93,12240
2014,5,26,6,1,9,44,21,9,67,1004,15,cv,3.56,0,0,20,12241
2015,5,27,6,1,121,82,101,15,68,1005,21,SE,1.79,0,0,104,12242
2010,11,17,0,3,,,,-4,86,1023,-1,NW,302.36,0,0,276,12243
2011,3,23,21,1,,,,-12,21,1023,9,NW,14.75,0,0,24,12244
2010,7,26,0,2,,,,23,74,1009,28,SE,41.13,0,0,159,12245
2013,1,7,10,4,,,,-16,41,1026,-5,NW,23.26,0,0,78,12246
2012,8,13,11,2,,,,16,48,1010,28,NE,3.13,0,0,13,12247
2011,1,15,9,4,,,,-26,23,1042,-9,NW,263.74,0,0,22,12248
2012,9,27,17,3,,,,10,63,1016,17,NW,4.02,0,0,8,12249
2010,11,7,4,3,,,,6,81,1015,9,cv,0.89,0,0,18,12250
2010,10,14,11,3,,,,-3,22,1021,19,NW,36.65,0,0,16,12251
2014,6,29,3,2,33,51,29,17,73,1006,22,cv,2.67,0,0,37,12252
2011,11,14,1,3,,,,-9,54,1026,-1,cv,0.89,0,0,145,12253
2011,5,24,19,1,,,,6,29,1013,25,SE,141.7,0,0,67,12254
2013,11,25,6,3,13,3,4,-16,23,1017,3,NW,88.07,0,0,16,12255
2011,9,12,15,3,,,,16,77,1014,20,SE,15.2,0,0,163,12256
2012,3,4,9,1,,,,-6,63,1025,0,NE,1.78,0,0,121,12257
2012,7,10,7,2,,,,24,88,998,26,NW,8.5,0,0,42,12258
2012,8,28,8,2,,,,22,88,1006,24,cv,0.89,0,0,83,12259
2010,11,1,3,3,,,,0,75,1025,4,NW,19.23,0,0,86,12260
2014,9,29,6,3,99,97,92,14,100,1015,14,cv,0.89,0,0,102,12261
2014,12,14,9,4,34,78,65,-13,42,1028,-2,NE,1.79,0,0,75,12262
2011,9,24,20,3,,,,13,77,1014,17,cv,0.89,0,0,163,12263
2010,8,23,11,2,,,,18,61,1015,26,NW,11.18,0,0,70,12264
2014,10,13,8,3,3,21,4,-2,40,1031,11,NW,5.81,0,0,7,12265
2011,7,5,21,2,,,,21,78,998,25,cv,0.89,0,0,141,12266
2015,11,5,19,3,22,25,26,0,75,1032,4,NE,51.83,0,0,24,12267
2014,6,29,14,2,69,65,59,16,36,1005,33,SE,9.39,0,0,61,12268
2014,11,27,17,3,3,23,23,-16,18,1023,6,NE,21.9,0,0,20,12269
2014,6,13,9,2,56,63,63,17,51,1008,28,cv,2.68,0,0,49,12270
2011,6,8,23,2,,,,19,73,1002,24,SE,34.86,0,0,53,12271
2015,12,2,7,4,3,10,9,-13,31,1021,2,NW,32.19,0,0,6,12272
2012,3,4,2,1,,,,-7,63,1026,-1,NE,0.89,0,0,113,12273
2013,8,4,13,2,110,99,108,20,49,999,32,SE,8.5,0,0,80,12274
2013,5,7,6,1,179,341,166,13,82,1015,16,NE,0.89,0,0,217,12275
2011,12,17,15,4,,,,-19,18,1031,3,cv,1.79,0,0,107,12276
2012,1,17,23,4,,,,-4,92,1025,-3,cv,1.78,0,0,332,12277
2010,3,1,17,1,,,,-5,74,1020,-1,SE,58.13,0,0,86,12278
2015,3,10,7,1,39,53,25,-17,44,1035,-7,cv,0.89,0,0,33,12279
2013,1,30,9,4,168,,261,-5,86,1027,-3,SE,5.37,0,0,302,12280
2012,2,14,1,4,,,,-10,73,1023,-6,cv,0.89,0,0,327,12281
2014,3,10,13,1,80,55,97,-8,35,1023,6,SE,1.79,0,0,102,12282
2010,9,6,3,3,,,,18,88,1010,20,cv,1.78,0,0,152,12283
2012,8,23,4,2,,,,13,77,1015,17,SE,1.79,0,0,87,12284
2012,7,5,8,2,,,,22,88,1003,24,cv,0.89,0,0,105,12285
2014,7,23,8,2,24,30,16,19,69,1005,25,cv,0.89,0,0,16,12286
2012,5,14,9,1,,,,-1,22,1009,21,cv,3.13,0,0,52,12287
2011,5,6,1,1,,,,4,66,1004,10,cv,2.67,0,0,111,12288
2014,11,5,11,3,5,15,4,-4,23,1018,17,NW,1.79,0,0,8,12289
2012,8,4,15,2,,,,22,58,1007,31,SE,6.26,0,0,15,12290
2015,11,6,18,3,13,,12,0,,,2,NE,20.56,0,0,15,12291
2014,6,14,1,2,24,45,38,17,88,1007,19,NE,4.47,0,0,39,12292
2010,9,6,21,3,,,,22,83,1011,25,cv,0.89,0,0,216,12293
2010,4,20,16,1,,,,1,29,1017,19,cv,4.92,0,0,77,12294
2011,2,16,4,4,,,,-11,85,1023,-9,NW,1.79,0,0,281,12295
2012,7,7,0,2,,,,23,94,1002,24,cv,2.67,0,0,177,12296
2014,7,9,21,2,27,29,28,14,37,1002,30,SE,12.07,0,0,31,12297
2015,12,23,7,4,306,321,289,-6,100,1026,-6,NW,8.95,0,0,320,12298
2010,12,11,18,4,,,,-15,36,1018,-2,SE,46.05,0,0,53,12299
2011,9,15,6,3,,,,16,100,1010,16,cv,0.89,0,0,173,12300
2012,12,22,8,4,,,,-18,44,1036,-8,NE,25.92,0,0,23,12301
2013,3,4,19,1,39,,32,-17,13,1022,10,SE,15.2,0,0,47,12302
2013,1,3,6,4,,,,-27,29,1045,-13,NE,4.92,0,0,13,12303
2014,1,24,9,4,182,175,195,-12,42,1017,-1,NW,1.79,0,0,214,12304
2012,2,27,14,4,,,,-10,30,1022,6,SE,3.13,0,0,188,12305
2012,3,12,22,1,,,,-14,33,1024,0,cv,0.89,0,0,106,12306
2010,6,14,17,2,,,,19,48,1001,31,SE,16.09,0,0,95,12307
2013,11,5,12,3,187,172,182,0,40,1020,13,cv,1.78,0,0,183,12308
2015,5,19,13,1,9,10,16,-2,14,1007,27,NW,67.94,0,0,8,12309
2013,7,1,1,2,157,165,151,22,83,1001,25,cv,3.56,0,0,141,12310
2015,5,1,1,1,207,,257,14,68,1010,20,SE,61.25,0,0,261,12311
2013,7,19,9,2,197,219,185,21,73,1002,26,NW,1.79,0,0,134,12312
2012,5,17,17,1,,,,9,30,1004,28,SE,29.05,0,0,50,12313
2012,2,19,12,4,,,,-21,13,1025,5,NW,3.58,0,0,52,12314
2015,7,17,2,2,,,,19,83,1008,22,NE,17.44,0,0,13,12315
2010,8,4,18,2,,,,21,78,1003,25,NW,35.76,0,0,36,12316
2010,11,6,18,3,,,,7,81,1014,10,SE,2.68,0,0,381,12317
2010,2,10,18,4,,,,-23,16,1031,-1,NE,31.73,0,0,11,12318
2014,8,28,14,2,71,76,71,16,48,1014,28,cv,2.68,0,0,80,12319
2015,8,20,19,2,46,,39,19,51,1005,30,SE,12.07,0,0,45,12320
2014,9,2,1,3,49,44,39,19,93,1010,20,cv,1.78,3,6.2,59,12321
2010,1,12,0,4,,,,-22,55,1031,-15,cv,1.78,0,0,21,12322
2014,7,7,17,2,233,214,203,23,62,1000,31,SE,40.7,0,0,192,12323
2013,1,1,7,4,,,,-16,45,1020,-6,NW,4.92,0,0,7,12324
2013,1,27,15,4,267,,256,-5,74,1027,-1,SE,1.79,0,0,320,12325
2010,10,27,7,3,,,,-3,86,1032,-1,cv,0.9,0,0,92,12326
2012,1,18,14,4,,,,-9,50,1024,0,cv,2.67,0,0,412,12327
2015,9,6,2,3,13,,5,17,93,1013,18,NW,36.66,0,0,14,12328
2010,5,10,19,1,,,,-1,27,1008,18,NW,113.97,0,0,8,12329
2013,12,7,12,4,285,252,284,-5,48,1020,5,SE,1.79,0,0,290,12330
2010,1,17,18,4,,,,-10,67,1027,-5,SE,2.67,0,0,250,12331
2010,2,24,8,4,,,,-5,69,1004,0,NW,12.97,0,0,296,12332
2011,10,9,2,3,,,,15,88,1017,17,cv,1.78,0,0,349,12333
2015,12,30,23,4,37,32,26,-11,53,1034,-3,NE,1.79,0,0,26,12334
2015,8,9,12,2,42,38,37,21,55,1011,31,NE,1.79,0,0,40,12335
2015,6,17,3,2,44,35,43,17,77,1003,21,NW,8.94,0,0,39,12336
2011,12,5,23,4,,,,0,100,1032,0,SE,1.78,0,0,226,12337
2011,11,13,2,3,,,,-13,24,1023,6,NW,22.8,0,0,6,12338
2012,6,2,20,2,,,,12,46,1007,24,SE,51.87,0,0,117,12339
2015,10,15,21,3,201,,189,12,87,1017,14,cv,1.78,0,0,189,12340
2012,4,20,13,1,,,,11,87,1017,13,SE,25.47,0,0,177,12341
2011,7,27,16,2,,,,24,74,1002,29,SE,21.01,0,0,62,12342
2012,1,14,1,4,,,,-14,61,1026,-8,NW,6.71,0,0,130,12343
2011,12,20,1,4,,,,-15,52,1032,-7,NW,1.79,0,0,188,12344
2011,7,23,11,2,,,,26,83,1003,29,cv,0.89,0,0,302,12345
2013,1,27,16,4,241,,244,-5,79,1026,-2,SE,3.58,0,0,288,12346
2014,12,12,23,4,5,12,5,-15,45,1028,-5,cv,1.78,0,0,12,12347
2015,8,29,18,2,33,,21,17,51,1007,28,SE,22.8,0,0,21,12348
2015,11,22,4,3,62,,74,-1,92,1035,0,SE,16.53,0,0,68,12349
2013,5,25,10,1,73,64,53,9,32,1012,27,cv,1.78,0,0,53,12350
2014,5,15,23,1,86,84,85,6,37,1001,21,NE,4.02,0,0,203,12351
2014,1,9,16,4,42,32,36,-34,5,1029,1,NW,67.05,0,0,44,12352
2015,9,12,21,3,18,14,11,8,40,1015,22,SE,13.86,0,0,17,12353
2015,8,27,16,2,7,,5,15,37,1007,31,NW,8.04,0,0,14,12354
2015,11,22,6,3,67,,70,-1,92,1035,0,NE,0.89,0.1,0.1,77,12355
2010,12,12,18,4,,,,-9,54,1020,-1,NW,1.79,0,0,122,12356
2012,1,13,13,4,,,,-15,23,1027,4,cv,1.79,0,0,61,12357
2013,4,27,6,1,74,62,55,2,61,1010,9,cv,0.89,0,0,55,12358
2015,4,26,2,1,107,114,101,12,59,1010,20,SE,71.52,0,0,111,12359
2011,8,30,10,2,,,,23,83,1010,26,cv,2.67,0,0,174,12360
2012,3,17,20,1,,,,3,93,1016,4,SE,50.96,1.7,1.7,185,12361
2012,9,15,20,3,,,,8,43,1020,21,SE,14.31,0,0,43,12362
2014,2,25,13,4,,,,-4,45,1025,7,cv,3.56,0,0,389,12363
2013,11,29,5,3,46,21,21,-15,39,1023,-3,NW,8.05,0,0,19,12364
2014,3,18,11,1,48,45,44,-8,19,1024,15,SE,8.94,0,0,52,12365
2011,10,31,3,3,,,,10,93,1023,11,SE,0.89,0,0,257,12366
2013,11,4,9,3,28,21,28,-4,34,1030,11,NW,4.92,0,0,33,12367
2010,10,30,12,3,,,,-2,25,1027,18,NW,8.94,0,0,23,12368
2012,12,10,19,4,,,,-12,57,1031,-5,NE,2.67,0,0,122,12369
2015,12,26,5,4,454,405,403,-5,100,1018,-5,cv,0.89,0,0,396,12370
2012,8,14,9,2,,,,20,88,1007,22,SE,1.79,0,0,104,12371
2011,8,12,8,2,,,,24,83,1004,27,cv,0.89,0,0,141,12372
2012,2,22,23,4,,,,-14,39,1023,-2,NW,21,0,0,16,12373
2014,6,2,23,2,46,42,51,13,56,1010,22,NW,13.41,0,0,57,12374
2013,1,9,5,4,,,,-21,47,1032,-12,NW,16.09,0,0,17,12375
2012,11,16,23,3,,,,-6,41,1020,6,NW,50.95,0,0,17,12376
2014,12,2,19,4,76,103,97,-17,38,1024,-5,cv,0.89,0,0,99,12377
2012,5,24,1,1,,,,8,51,1010,18,cv,0.89,0,0,51,12378
2014,8,5,9,2,23,26,25,19,73,1008,24,NW,19.23,0,0,25,12379
2013,7,21,20,2,,54,,19,58,1004,28,SE,19.67,0,0,50,12380
2013,7,20,8,2,160,180,163,23,74,1005,28,cv,0.89,0,0,116,12381
2012,3,29,18,1,,,,-13,9,1011,20,NW,83.6,0,0,13,12382
2015,10,22,8,3,24,,23,8,93,1026,9,NW,3.13,0.3,7.9,15,12383
2014,8,26,1,2,37,43,34,15,77,1013,19,cv,1.34,0,0,35,12384
2013,9,5,4,3,18,15,10,15,88,1014,17,NW,23.25,0.2,11.4,14,12385
2014,2,10,1,4,11,6,3,-21,37,1038,-9,NW,33.08,0,0,9,12386
2014,11,24,3,3,115,241,193,-3,92,1028,-2,NW,10.29,0,0,175,12387
2014,2,21,10,4,209,249,217,-5,64,1029,1,NW,6.71,0,0,247,12388
2013,2,6,4,4,153,,197,-11,92,1023,-10,NW,6.71,0,0,212,12389
2013,10,15,2,3,3,33,3,-3,64,1033,3,cv,0.89,0,0,7,12390
2012,12,29,3,4,,,,-12,49,1029,-3,NW,20.11,0,0,16,12391
2013,12,27,23,4,,,,-19,34,1027,-6,NW,1.79,0,0,30,12392
2010,3,12,6,1,,,,-13,29,1015,3,NW,73.76,0,0,18,12393
2010,2,16,10,4,,,,-20,27,1032,-4,cv,0.89,0,0,21,12394
2013,11,7,20,3,88,105,79,-5,48,1019,5,NE,0.89,0,0,108,12395
2012,3,26,23,1,,,,0,56,1018,8,SE,0.89,0,0,280,12396
2013,11,21,10,3,46,45,61,-9,30,1027,7,NW,4.92,0,0,77,12397
2015,1,20,10,4,84,99,100,-10,46,1024,0,NW,16.54,0,0,99,12398
2010,6,20,12,2,,,,10,24,1009,33,NW,4.92,0,0,11,12399
2014,4,10,13,1,52,80,79,-4,22,1023,18,SE,25.48,0,0,68,12400
2012,11,7,20,3,,,,-6,29,1019,11,NW,77.35,0,0,50,12401
2014,6,6,13,2,3,7,5,18,93,1005,19,NW,16.99,3.3,12.9,9,12402
2012,12,30,12,4,,,,-19,25,1025,-2,NW,74.2,0,0,16,12403
2011,11,27,23,3,,,,-2,80,1022,1,NW,1.79,0,0,362,12404
2012,2,7,19,4,,,,-25,20,1029,-6,NW,75.99,0,0,12,12405
2010,3,18,16,1,,,,-2,74,1015,2,NE,3.13,0,0,202,12406
2010,1,3,12,4,,,,-11,85,1021,-9,SE,105.93,1.1,8.9,90,12407
2011,2,4,1,4,,,,-16,48,1019,-7,NW,0.89,0,0,270,12408
2012,10,15,0,3,,,,7,66,1020,14,cv,64.97,0,0,122,12409
2015,2,5,14,4,29,23,25,-14,19,1030,8,NW,24.59,0,0,29,12410
2014,6,6,18,2,3,12,6,16,88,1005,18,NE,3.13,0,0,9,12411
2010,9,14,12,3,,,,17,43,1014,31,cv,3.58,0,0,183,12412
2010,9,17,20,3,,,,13,93,1015,14,cv,1.78,0.2,12.6,8,12413
2013,4,16,1,1,55,56,60,0,49,1004,10,NW,4.02,0,0,53,12414
2012,1,20,4,4,,,,-16,33,1033,-2,NE,17.88,0,0,47,12415
2015,3,1,17,1,19,19,13,-16,13,1016,11,SE,40.68,0,0,17,12416
2011,12,18,3,4,,,,-16,45,1035,-6,NW,20.11,0,0,14,12417
2013,2,27,23,4,239,,235,-4,55,1014,4,cv,0.89,0,0,367,12418
2012,5,29,19,1,,,,12,56,1012,21,NW,27.71,0,0,15,12419
2013,4,10,22,1,23,27,25,-16,15,1018,9,NW,204.73,0,0,26,12420
2014,11,1,18,3,10,16,15,-7,22,1018,14,NW,56.32,0,0,15,12421
2012,12,7,5,4,,,,-16,66,1024,-11,NW,27.71,0,0,40,12422
2010,2,7,18,4,,,,-7,79,1020,-4,cv,0.89,0,0,147,12423
2013,10,13,21,3,64,76,39,10,76,1019,14,cv,1.78,0,0,72,12424
2015,4,26,9,1,142,178,158,14,56,1012,23,cv,0.89,0,0,139,12425
2012,9,1,7,3,,,,24,94,1011,25,cv,1.78,0,0,206,12426
2012,10,19,19,3,,,,8,81,1015,11,cv,1.34,0,0,277,12427
2011,1,24,8,4,,,,-21,51,1034,-13,NW,11.18,0,0,33,12428
2015,12,1,23,4,80,,54,-2,100,1020,-2,NW,4.92,0,0,12,12429
2012,11,22,21,3,,,,-18,21,1031,2,NW,63.03,0,0,6,12430
2012,5,18,1,1,,,,8,62,1008,15,cv,0.45,0,0,28,12431
2012,1,23,20,4,,,,-23,28,1027,-8,NW,57.67,0,0,200,12432
2012,10,29,23,3,,,,-11,23,1029,9,NW,30.84,0,0,8,12433
2014,8,18,12,2,82,86,74,19,58,1012,28,SE,3.58,0,0,69,12434
2015,12,17,23,4,134,,120,-11,62,1030,-5,NE,0.89,0,0,145,12435
2011,8,25,11,2,,,,22,78,1015,26,SE,11.18,0,0,80,12436
2015,5,29,11,1,77,3,87,17,57,1006,26,SE,4.92,0,0,80,12437
2012,6,23,7,2,,,,20,83,1003,23,SE,3.58,0,0,159,12438
2015,1,25,18,4,206,211,190,-4,74,1023,0,cv,1.78,0,0,177,12439
2013,12,21,23,4,230,186,208,-15,48,1034,-6,NW,0.89,0,0,267,12440
2012,4,4,7,1,,,,-13,13,1010,15,NW,21.01,0,0,11,12441
2011,6,3,21,2,,,,5,25,1005,26,SE,6.26,0,0,45,12442
2012,1,25,5,4,,,,-22,50,1024,-14,NW,3.58,0,0,42,12443
2015,3,11,15,1,14,21,26,-21,9,1021,10,cv,3.58,0,0,18,12444
2013,3,9,13,1,42,52,47,-20,7,1009,14,NW,49.17,0,0,40,12445
2012,8,24,4,2,,,,17,93,1014,18,cv,2.67,0,0,101,12446
2011,1,22,18,4,,,,-18,28,1027,-2,NW,45.16,0,0,23,12447
2012,11,29,20,3,,,,-9,63,1024,-3,SE,1.78,0,0,81,12448
2012,6,13,20,2,,,,17,82,1000,20,NE,4.92,0,0,40,12449
2014,10,11,12,3,193,297,257,15,82,1021,18,SE,9.84,0,0,243,12450
2015,6,28,20,2,177,154,165,22,69,1004,28,SE,36.2,0,0,129,12451
2015,12,25,12,4,596,,569,-3,100,1018,-3,cv,2.67,0,0,580,12452
2010,7,2,20,2,,,,16,40,999,31,SE,8.94,0,0,35,12453
2015,4,5,2,1,142,146,134,6,71,1014,11,SE,0.89,0,0,133,12454
2010,2,9,14,4,,,,-14,23,1023,5,cv,1.78,0,0,51,12455
2014,1,25,11,4,6,9,13,-21,12,1028,6,NE,8.94,0,0,15,12456
2010,4,24,3,1,,,,-3,37,1018,11,SE,30.85,0,0,65,12457
2013,5,24,17,1,55,57,44,16,68,1012,22,SE,8.94,0,0,56,12458
2014,10,12,15,3,3,13,5,-4,22,1030,18,NW,12.07,0,0,4,12459
2015,5,31,23,1,74,61,69,16,42,999,30,SE,52.75,0,0,80,12460
2010,12,3,4,4,,,,-15,42,1025,-4,NW,4.92,0,0,13,12461
2013,9,24,7,3,8,4,9,2,47,1024,13,NW,4.02,0,0,9,12462
2015,10,21,21,3,79,,69,9,93,1027,10,SE,9.83,0,0,74,12463
2014,9,13,10,3,71,62,65,16,60,1016,24,SE,3.58,0,0,60,12464
2015,11,5,7,3,209,,211,9,93,1027,10,cv,3.56,0,0,203,12465
2015,10,25,13,3,,,,-1,37,1027,13,SE,6.71,0,0,31,12466
2014,2,19,0,4,99,111,102,-11,50,1029,-2,NE,1.79,0,0,116,12467
2013,12,2,6,4,77,97,86,-11,58,1019,-4,cv,0.89,0,0,109,12468
2012,3,2,15,1,,,,1,100,1027,1,SE,3.58,0,0,110,12469
2014,3,11,19,1,51,28,30,-13,15,1018,13,NE,10.28,0,0,13,12470
2013,3,23,23,1,6,9,4,-15,25,1022,3,NE,4.92,0,0,9,12471
2014,4,6,7,1,75,106,105,-1,56,1021,7,NE,0.89,0,0,91,12472
2010,1,2,14,4,,,,-9,73,1025,-5,SE,31.73,0,0,154,12473
2014,1,3,2,4,32,33,44,-9,50,1019,0,NW,4.02,0,0,34,12474
2011,9,22,10,3,,,,5,31,1017,23,NW,38,0,0,40,12475
2011,6,19,5,2,,,,19,93,1008,20,cv,1.78,0,0,235,12476
2012,1,3,13,4,,,,-19,24,1030,-1,NW,223.52,0,0,13,12477
2014,2,24,7,4,212,278,253,-5,64,1028,1,NW,8.05,0,0,329,12478
2012,12,30,22,4,,,,-17,61,1024,-11,NE,1.79,0,0,82,12479
2015,7,8,2,2,125,108,104,19,78,1010,23,SE,1.79,0,0,96,12480
2010,11,7,15,3,,,,-5,28,1017,13,NW,89.85,0,0,13,12481
2011,11,13,13,3,,,,-14,16,1025,10,SE,4.02,0,0,18,12482
2012,6,11,18,2,,,,1,13,994,32,NW,4.92,0,0,12,12483
2015,8,20,21,2,49,,42,19,65,1006,26,NE,1.79,0,0,40,12484
2012,11,1,7,3,,,,-1,86,1020,1,cv,0.89,0,0,45,12485
2013,2,25,7,4,126,,148,-4,69,1028,1,SE,3.13,0,0,153,12486
2014,11,6,13,3,3,5,6,-14,15,1030,11,NE,46.05,0,0,3,12487
2014,9,11,5,3,81,94,73,15,77,1014,19,cv,3.56,0,0,81,12488
