year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_US_Post,No,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan
2010,10,10,0,3,13.0,100.0,1010.0,13.0,3,0.006658561675862714,0.0,0.0,438,7742,393.0,377.0,422.0
2014,10,29,2,3,6.0,93.0,1025.0,7.0,4,0.0025063125409146175,0.0,0.0,139,7743,98.0,51.0,103.0
2015,11,28,0,3,-7.0,79.0,1028.0,-4.0,2,0.0016646404189656786,0.0,0.0,320,7744,308.0,308.0,322.0
2015,11,4,6,3,3.0,93.0,1023.0,4.0,3,0.003329280837931357,0.0,0.0,201,7745,196.0,95.0,179.0
2012,3,9,9,1,-7.0,68.0,1030.0,-2.0,2,0.005012625081829235,0.0,0.0,127,7746,105.0,109.0,108.0
2013,10,7,11,3,3.0,26.0,1024.0,23.0,3,0.009202281866641729,0.0,0.0,41,7747,24.0,65.0,21.0
2010,7,31,2,2,26.0,88.0,998.0,28.0,1,0.0033479846628635557,0.0,0.0,201,7748,208.0,205.0,215.0
2012,2,17,8,4,-23.0,26.0,1034.0,-7.0,1,0.35284765734592727,0.0,0.0,17,7749,11.0,11.0,10.0
2010,11,21,9,3,-14.0,18.0,1014.0,9.0,1,0.07442251940521837,0.0,0.0,28,7750,25.0,23.0,28.0
2015,3,17,2,1,5.0,87.0,1016.0,7.0,1,0.01756289161133452,0.0,0.0,309,7751,329.0,340.0,325.0
2014,3,20,16,1,-17.0,7.0,1023.0,18.0,2,0.005854297203778173,0.0,0.0,9,7752,13.0,10.0,23.0
2013,7,3,10,2,18.0,43.0,996.0,32.0,3,0.00751893762274385,0.0,0.0,14,7753,10.0,9.0,9.0
2011,12,6,13,4,1.0,86.0,1030.0,3.0,4,0.0016646404189656786,0.0,0.0,215,7754,184.0,184.0,190.0
2010,12,27,2,4,-17.0,52.0,1012.0,-9.0,1,0.012550266529505284,0.0,0.0,161,7755,145.0,208.0,159.0
2015,3,4,16,1,-26.0,7.0,1026.0,6.0,2,0.013373234826522026,0.0,0.0,23,7756,23.0,29.0,26.0
2013,5,30,10,1,8.0,30.0,1008.0,27.0,2,0.0033479846628635557,0.0,0.0,47,7757,68.0,71.0,54.0
2014,5,2,3,1,-1.0,37.0,1012.0,13.0,1,0.20063593004769475,0.0,0.0,34,7758,20.0,16.0,53.0
2010,7,8,15,2,11.0,22.0,1003.0,36.0,4,0.009202281866641729,0.0,0.0,14,7759,12.0,16.0,20.0
2013,2,20,19,4,-18.0,22.0,1027.0,1.0,4,0.0008416721219489386,0.0,0.0,67,7760,50.0,50.0,48.0
2013,10,6,7,3,12.0,87.0,1024.0,14.0,2,0.0016646404189656786,0.0,0.0,260,7761,235.0,253.0,214.0
2015,4,20,18,1,-2.0,21.0,1010.0,21.0,2,0.07107453474235481,26.775775136867406,27.046892776071576,75,7762,79.0,72.0,73.0
2015,8,7,9,2,23.0,83.0,1013.0,26.0,3,0.0016646404189656786,0.0,0.0,93,7763,128.0,117.0,105.0
2015,4,26,19,1,11.0,34.0,1006.0,28.0,2,0.09114373889460395,0.0,0.0,84,7764,69.0,86.0,72.0
2010,3,5,15,1,-25.0,11.0,1028.0,2.0,3,0.009202281866641729,0.0,0.0,16,7765,15.0,15.0,13.0
2012,7,24,16,2,21.0,55.0,1008.0,31.0,2,0.005854297203778173,0.0,0.0,65,7766,70.0,101.0,72.0
2013,6,5,7,2,18.0,93.0,1012.0,19.0,4,0.003329280837931357,0.1,0.1,114,7767,86.0,100.0,98.0
2015,2,19,16,4,-6.0,44.0,1027.0,5.0,2,0.11287758346581876,0.0,0.0,124,7768,141.0,118.0,118.0
2014,6,16,16,2,19.0,54.0,1000.0,29.0,2,0.013373234826522026,0.0,0.0,111,7769,112.0,119.0,108.0
2011,11,23,16,3,-17.0,19.0,1031.0,4.0,1,0.4991115683157206,0.0,0.0,13,7770,10.0,8.0,10.0
2013,2,6,9,4,-5.0,92.0,1025.0,-4.0,1,0.0033479846628635557,0.0,0.0,188,7771,126.0,126.0,137.0
2015,10,14,2,3,8.0,81.0,1018.0,11.0,1,0.0033479846628635557,0.0,0.0,128,7772,118.0,8.0,135.0
2015,3,28,23,1,-1.0,29.0,1016.0,17.0,1,0.005012625081829235,0.0,0.0,32,7773,35.0,38.0,28.0
2015,7,16,11,2,20.0,83.0,1008.0,23.0,1,0.009202281866641729,0.0,0.0,30,7774,40.0,30.0,26.0
2015,8,23,1,2,18.0,73.0,1008.0,23.0,3,0.0033479846628635557,0.0,0.0,46,7775,49.0,61.0,36.0
2012,2,28,21,4,-9.0,47.0,1020.0,1.0,2,0.06688487795754232,0.0,0.0,129,7776,120.0,114.0,114.0
2011,5,7,0,1,6.0,51.0,1005.0,16.0,4,0.0016646404189656786,0.0,0.0,46,7777,45.0,44.0,41.0
2012,4,29,9,1,0.0,35.0,1014.0,15.0,1,0.015898251192368842,0.0,0.0,205,7778,187.0,199.0,178.0
2012,5,12,13,1,8.0,38.0,1010.0,23.0,4,0.0066959693257271115,0.0,0.0,38,7779,48.0,47.0,32.0
2010,4,3,22,1,-2.0,37.0,1011.0,12.0,2,0.10702328626204059,0.0,0.0,164,7780,154.0,163.0,145.0
2014,5,9,12,1,7.0,51.0,1016.0,17.0,2,0.04264472084541289,0.0,0.0,70,7781,68.0,60.0,68.0
2013,10,6,23,3,13.0,87.0,1021.0,15.0,1,0.0016646404189656786,0.0,0.0,201,7782,279.0,215.0,155.0
2014,8,18,11,2,19.0,58.0,1012.0,28.0,2,0.0033479846628635557,0.0,0.0,59,7783,65.0,62.0,51.0
2014,10,15,3,3,5.0,93.0,1013.0,6.0,4,0.0016646404189656786,0.0,0.0,92,7784,125.0,254.0,150.0
2014,7,16,4,2,21.0,83.0,1003.0,24.0,4,0.0016646404189656786,0.0,0.0,90,7785,90.0,82.0,81.0
2011,12,9,6,4,-17.0,48.0,1040.0,-8.0,3,0.0033479846628635557,0.0,0.0,12,7786,9.0,21.0,11.0
2013,1,18,8,4,-14.0,78.0,1029.0,-11.0,1,0.00836060974469279,0.0,0.0,82,7787,61.0,61.0,80.0
2011,8,30,13,2,23.0,62.0,1008.0,31.0,2,0.005854297203778173,0.0,0.0,141,7788,190.0,172.0,168.0
2011,7,2,9,2,24.0,94.0,1001.0,25.0,4,0.003329280837931357,0.0,0.0,176,7789,173.0,190.0,168.0
2012,5,30,18,1,2.0,19.0,1015.0,27.0,1,0.0033479846628635557,0.0,0.0,9,7790,13.0,10.0,11.0
2012,3,8,15,1,-23.0,12.0,1028.0,3.0,3,0.013373234826522026,0.0,0.0,19,7791,17.0,15.0,16.0
2014,9,17,23,3,12.0,82.0,1021.0,15.0,4,0.0016646404189656786,0.0,0.0,56,7792,52.0,44.0,49.0
2015,11,5,11,3,6.0,76.0,1030.0,10.0,3,0.022556812868231555,0.0,0.0,62,7793,70.0,216.0,75.0
2012,12,21,6,4,-10.0,92.0,1027.0,-9.0,1,0.019227532030300195,0.0,0.0,280,7794,266.0,251.0,262.0
2010,7,17,23,2,22.0,69.0,1007.0,28.0,2,0.055194987374918174,0.0,0.0,219,7795,229.0,216.0,215.0
2014,7,6,6,2,23.0,94.0,1006.0,24.0,2,0.06606190966052558,0.0,0.0,233,7796,246.0,212.0,201.0
2010,1,7,6,4,-24.0,46.0,1035.0,-15.0,1,0.02674646965304405,0.0,0.0,23,7797,18.0,14.0,18.0
2015,3,17,3,1,4.0,86.0,1016.0,6.0,1,0.020910876274198072,0.0,0.0,311,7798,325.0,327.0,316.0
2014,6,19,15,2,19.0,65.0,1005.0,26.0,2,0.06017020480688302,0.0,0.0,109,7799,122.0,126.0,118.0
2010,7,12,18,2,21.0,83.0,1006.0,24.0,3,0.0033479846628635557,0.0,0.0,211,7800,227.0,205.0,199.0
2015,7,28,0,2,23.0,100.0,1005.0,23.0,4,0.0016646404189656786,0.7,28.4,40,7801,36.0,48.0,42.0
2014,12,7,16,4,-17.0,19.0,1026.0,4.0,1,0.08109978490601329,0.0,0.0,15,7802,8.0,10.0,12.0
2010,2,9,8,4,-4.0,92.0,1024.0,-3.0,4,0.004170952959880295,0.0,0.0,207,7803,164.0,183.0,185.0
2011,12,24,22,4,-14.0,57.0,1028.0,-7.0,3,0.0033479846628635557,0.0,0.0,131,7804,98.0,134.0,114.0
2012,6,28,23,2,21.0,100.0,1008.0,21.0,2,0.0016646404189656786,0.0,0.0,129,7805,125.0,130.0,116.0
2010,10,23,5,3,10.0,87.0,1019.0,12.0,1,0.0033479846628635557,0.0,0.0,164,7806,143.0,152.0,147.0
2013,12,20,11,4,-20.0,19.0,1036.0,1.0,4,0.0016646404189656786,0.0,0.0,17,7807,26.0,12.0,25.0
2013,3,29,9,1,-4.0,52.0,1024.0,5.0,2,0.013373234826522026,0.0,0.0,117,7808,103.0,108.0,97.0
2014,4,1,11,1,5.0,37.0,1014.0,20.0,4,0.005012625081829235,0.0,0.0,121,7809,171.0,123.0,155.0
2010,10,19,1,3,6.0,93.0,1025.0,7.0,2,0.005854297203778173,0.0,0.0,40,7810,39.0,63.0,36.0
2013,8,1,2,2,19.0,88.0,1001.0,21.0,3,0.0033479846628635557,0.0,0.0,31,7811,25.0,21.0,37.0
2012,12,19,16,4,-9.0,68.0,1028.0,-4.0,4,0.009164874216777332,0.0,0.0,236,7812,212.0,231.0,196.0
2011,9,8,3,3,16.0,77.0,1009.0,20.0,1,0.024240157112129432,0.0,0.0,14,7813,12.0,18.0,10.0
2013,1,6,19,4,-16.0,33.0,1026.0,-2.0,2,0.029271486018890864,0.0,0.0,335,7814,297.0,293.0,279.0
2012,11,13,12,3,-17.0,18.0,1018.0,5.0,1,0.35696249883101094,0.0,0.0,11,7815,11.0,9.0,9.0
2013,12,21,17,4,-19.0,20.0,1033.0,1.0,2,0.0066959693257271115,0.0,0.0,128,7816,112.0,95.0,103.0
2014,9,21,18,3,17.0,68.0,1016.0,23.0,2,0.0343028149256523,0.0,0.0,85,7817,87.0,94.0,79.0
2013,8,5,5,2,18.0,88.0,998.0,20.0,1,0.005012625081829235,0.0,0.0,50,7818,51.0,31.0,54.0
2010,5,3,22,1,5.0,39.0,1005.0,19.0,2,0.00751893762274385,0.0,0.0,160,7819,146.0,149.0,150.0
2012,7,4,9,2,18.0,54.0,1001.0,28.0,3,0.0033479846628635557,0.0,0.0,81,7820,99.0,99.0,85.0
2015,4,16,16,1,-13.0,9.0,1009.0,21.0,1,0.40804264472084545,0.0,0.0,12,7821,15.0,13.0,225.0
2014,1,12,12,4,-26.0,11.0,1038.0,1.0,4,0.0016646404189656786,0.0,0.0,14,7822,10.0,10.0,13.0
2015,1,14,10,4,-9.0,58.0,1032.0,-2.0,1,0.04765734592724213,0.0,0.0,235,7823,179.0,197.0,189.0
2011,6,11,13,2,17.0,51.0,1002.0,28.0,2,0.009202281866641729,0.0,0.0,74,7824,83.0,81.0,82.0
2014,11,27,21,3,-10.0,32.0,1024.0,5.0,1,0.010043953988590667,0.0,0.0,37,7825,18.0,39.0,36.0
2010,7,17,15,2,23.0,59.0,1005.0,32.0,2,0.011708594407556346,0.0,0.0,98,7826,113.0,176.0,112.0
2010,11,12,1,3,-6.0,79.0,1016.0,-1.0,1,0.25158514916300384,0.0,0.0,10,7827,11.0,13.0,10.0
2012,3,5,15,1,-6.0,51.0,1011.0,3.0,1,0.021752548396147015,0.0,0.0,137,7828,116.0,138.0,130.0
2013,10,17,22,3,4.0,75.0,1026.0,8.0,3,0.0016646404189656786,0.0,0.0,216,7829,176.0,186.0,192.0
2013,5,16,11,1,8.0,35.0,1018.0,24.0,4,0.016702515664453382,0.0,0.0,63,7830,45.0,56.0,38.0
2012,8,30,0,2,22.0,83.0,1009.0,25.0,2,0.010866922285607407,0.0,0.0,260,7831,192.0,190.0,173.0
2012,12,15,19,4,-2.0,92.0,1025.0,-1.0,2,0.0033479846628635557,0.0,0.0,348,7832,307.0,298.0,310.0
2013,8,31,4,2,11.0,76.0,1011.0,15.0,1,0.011708594407556346,0.0,0.0,30,7833,24.0,56.0,38.0
2013,4,19,12,1,-1.0,56.0,1025.0,7.0,4,0.00751893762274385,0.0,0.0,35,7834,21.0,29.0,20.0
2010,5,24,2,1,12.0,72.0,999.0,17.0,2,0.0016646404189656786,0.0,0.0,73,7835,59.0,78.0,59.0
2012,4,30,18,1,13.0,68.0,1008.0,19.0,4,0.0016646404189656786,0.0,0.0,204,7836,203.0,197.0,190.0
2015,9,16,3,3,14.0,93.0,1018.0,15.0,1,0.0033479846628635557,0.0,0.0,159,7837,172.0,12.0,184.0
2012,9,9,16,3,18.0,57.0,1013.0,27.0,2,0.011708594407556346,0.0,0.0,85,7838,89.0,85.0,85.0
2012,4,28,12,1,-9.0,15.0,1013.0,18.0,2,0.0066959693257271115,0.0,0.0,90,7839,88.0,83.0,76.0
2011,4,15,23,1,-3.0,34.0,1019.0,12.0,2,0.03344243897877116,0.0,0.0,36,7840,37.0,38.0,30.0
2013,4,25,17,1,-15.0,7.0,1011.0,22.0,1,0.2934256055363322,0.0,0.0,7,7841,10.0,5.0,5.0
2015,5,23,5,1,11.0,76.0,1009.0,15.0,1,0.0016646404189656786,0.0,0.0,133,7842,103.0,144.0,127.0
2015,3,18,2,1,-7.0,36.0,1020.0,7.0,4,0.0016646404189656786,0.0,0.0,27,7843,27.0,27.0,29.0
2011,8,20,10,2,22.0,74.0,1013.0,27.0,4,0.0016646404189656786,0.0,0.0,79,7844,82.0,93.0,90.0
2011,8,5,1,2,23.0,94.0,1006.0,24.0,2,0.0066959693257271115,0.0,0.0,166,7845,162.0,156.0,156.0
2010,2,8,0,4,-6.0,85.0,1021.0,-4.0,4,0.0016646404189656786,0.0,0.0,187,7846,145.0,162.0,151.0
2011,2,5,18,4,-9.0,54.0,1014.0,-1.0,1,0.0033479846628635557,0.0,0.0,169,7847,154.0,171.0,145.0
2015,12,24,5,4,-9.0,63.0,1026.0,-3.0,1,0.013373234826522026,0.0,0.0,39,7848,35.0,48.0,30.0
2010,3,12,2,1,-10.0,26.0,1009.0,8.0,1,0.07442251940521837,0.0,0.0,38,7849,42.0,40.0,37.0
2015,4,13,7,1,-3.0,48.0,1029.0,7.0,1,0.053511643131020296,0.0,0.0,28,7850,22.0,17.0,17.0
2015,12,24,9,4,-6.0,74.0,1028.0,-2.0,4,0.006658561675862714,0.0,0.0,53,7851,51.0,75.0,51.0
2013,12,31,5,4,-15.0,45.0,1011.0,-5.0,2,0.0033479846628635557,0.0,0.0,83,7852,106.0,76.0,94.0
2010,7,5,12,2,7.0,14.0,1000.0,39.0,1,0.005854297203778173,0.0,0.0,11,7853,15.0,12.0,16.0
2015,4,2,12,1,5.0,81.0,1000.0,8.0,1,0.055194987374918174,0.0,0.0,29,7854,25.0,37.0,41.0
2015,2,6,13,4,-14.0,16.0,1021.0,10.0,1,0.036809127466566914,0.0,0.0,33,7855,42.0,31.0,30.0
2012,9,24,2,3,14.0,87.0,1016.0,16.0,1,0.009202281866641729,0.0,0.0,52,7856,50.0,50.0,47.0
2010,10,20,19,3,7.0,81.0,1026.0,10.0,4,0.0016646404189656786,0.0,0.0,85,7857,80.0,81.0,80.0
2013,7,6,11,2,21.0,52.0,1001.0,32.0,2,0.005854297203778173,0.0,0.0,48,7858,42.0,58.0,55.0
2012,6,2,18,2,11.0,34.0,1007.0,28.0,2,0.08446647339380903,0.0,0.0,71,7859,75.0,72.0,68.0
2015,5,12,6,1,5.0,62.0,996.0,12.0,1,0.18477508650519034,0.0,0.0,14,7860,15.0,31.0,12.0
2012,8,31,14,2,21.0,52.0,1010.0,32.0,2,0.030094454315907605,0.0,0.0,145,7861,179.0,165.0,149.0
2015,9,2,15,3,17.0,40.0,1012.0,32.0,1,0.1329654914430001,0.0,0.0,2,7862,8.0,46.0,3.0
2012,2,27,1,4,-12.0,49.0,1028.0,-3.0,2,0.03931544000748153,0.0,0.0,153,7863,131.0,127.0,112.0
2015,2,25,4,4,-3.0,86.0,1016.0,-1.0,1,0.020910876274198072,0.0,0.0,211,7864,248.0,227.0,213.0
2011,12,6,3,4,-1.0,92.0,1031.0,0.0,1,0.011708594407556346,0.0,0.0,237,7865,157.0,234.0,207.0
2010,3,7,6,1,-10.0,73.0,1035.0,-6.0,2,0.07359955110820163,0.0,0.0,69,7866,60.0,67.0,66.0
2010,12,8,4,4,-8.0,47.0,1014.0,2.0,1,0.018404563733283457,0.0,0.0,62,7867,47.0,82.0,64.0
2015,9,10,21,3,13.0,93.0,1021.0,14.0,1,0.10616291031515945,0.0,0.0,8,7868,9.0,9.0,3.0
2012,9,7,17,3,17.0,68.0,1015.0,23.0,2,0.03761339193865146,0.0,0.0,27,7869,24.0,26.0,23.0
2010,10,17,0,3,1.0,50.0,1026.0,11.0,2,0.11785280089778359,0.0,0.0,31,7870,28.0,35.0,29.0
2012,1,30,21,4,-8.0,79.0,1026.0,-5.0,3,0.006658561675862714,0.0,0.0,152,7871,128.0,121.0,135.0
2012,1,12,15,4,-15.0,21.0,1022.0,5.0,2,0.011708594407556346,0.0,0.0,160,7872,145.0,132.0,123.0
2010,11,24,8,3,-14.0,23.0,1023.0,5.0,1,0.027588141774992987,0.0,0.0,17,7873,12.0,16.0,13.0
2013,12,3,2,4,-11.0,53.0,1021.0,-3.0,1,0.020892172449265875,0.0,0.0,115,7874,110.0,206.0,109.0
2012,8,28,2,2,22.0,94.0,1007.0,23.0,4,0.003329280837931357,0.0,0.0,72,7875,66.0,76.0,62.0
2014,11,28,0,3,-8.0,41.0,1023.0,4.0,1,0.00751893762274385,0.0,0.0,39,7876,27.0,63.0,34.0
2015,1,2,7,4,-17.0,44.0,1031.0,-7.0,3,0.0033479846628635557,0.0,0.0,16,7877,3.0,20.0,12.0
2013,1,25,22,4,-12.0,72.0,1024.0,-8.0,4,0.0008416721219489386,0.0,0.0,124,7878,88.0,88.0,105.0
2014,3,30,19,1,-10.0,10.0,1014.0,23.0,2,0.022575516693163752,0.0,0.0,24,7879,27.0,42.0,30.0
2010,8,8,1,2,19.0,93.0,1006.0,20.0,4,0.0016646404189656786,0.0,0.0,44,7880,41.0,46.0,39.0
2014,10,2,2,3,9.0,93.0,1013.0,10.0,1,0.015898251192368842,0.0,0.0,59,7881,52.0,51.0,56.0
2011,9,2,21,3,18.0,73.0,1009.0,23.0,2,0.03260076685682222,0.0,0.0,72,7882,73.0,72.0,64.0
2013,3,28,20,1,-7.0,29.0,1020.0,10.0,2,0.010866922285607407,0.0,0.0,120,7883,108.0,102.0,107.0
2013,3,16,11,1,-1.0,35.0,1026.0,14.0,4,0.0016646404189656786,0.0,0.0,212,7884,211.0,202.0,207.0
2015,8,31,22,2,18.0,93.0,1013.0,19.0,3,0.01756289161133452,0.8,1.4,8,7885,13.0,46.0,9.0
2012,3,11,22,1,-21.0,16.0,1030.0,2.0,2,0.04264472084541289,0.0,0.0,64,7886,58.0,58.0,59.0
2013,5,6,10,1,15.0,57.0,1015.0,24.0,4,0.004993921256897036,0.0,0.0,266,7887,300.0,383.0,267.0
2013,9,23,4,3,17.0,88.0,1014.0,19.0,1,0.012531562704573085,1.6,7.1,69,7888,84.0,55.0,72.0
2012,1,20,15,4,-23.0,19.0,1035.0,-3.0,3,0.1438137099036753,0.0,0.0,13,7889,9.0,9.0,11.0
2010,7,9,23,2,19.0,88.0,1006.0,21.0,4,0.0016646404189656786,7.5,36.7,31,7890,31.0,35.0,24.0
2014,10,22,21,3,7.0,71.0,1020.0,12.0,4,0.003329280837931357,0.0,0.0,132,7891,88.0,137.0,120.0
2012,11,11,5,3,-12.0,34.0,1014.0,2.0,1,0.20482558683250726,0.0,0.0,11,7892,11.0,11.0,9.0
2014,2,14,3,4,-11.0,73.0,1029.0,-7.0,3,0.003329280837931357,0.0,0.0,264,7893,226.0,227.0,234.0
2013,8,20,22,2,22.0,88.0,1008.0,24.0,3,0.0033479846628635557,0.0,0.0,115,7894,82.0,110.0,141.0
2011,1,5,12,4,-21.0,25.0,1031.0,-4.0,1,0.3419246235855233,0.0,0.0,19,7895,14.0,14.0,11.0
2013,7,30,2,2,21.0,83.0,997.0,24.0,2,0.0033479846628635557,0.0,0.0,115,7896,103.0,27.0,104.0
2014,6,27,2,2,16.0,64.0,1005.0,23.0,1,0.022556812868231555,0.0,0.0,46,7897,52.0,45.0,44.0
2012,3,9,18,1,-15.0,23.0,1022.0,4.0,2,0.05601795567193491,0.0,0.0,67,7898,63.0,60.0,60.0
2013,2,16,15,4,-7.0,47.0,1020.0,3.0,2,0.010043953988590667,0.0,0.0,159,7899,3.0,3.0,119.0
2011,4,26,2,1,6.0,71.0,1003.0,11.0,2,0.08528944169082578,0.0,0.0,126,7900,124.0,122.0,112.0
2011,9,9,7,3,14.0,82.0,1020.0,17.0,1,0.030094454315907605,0.0,0.0,11,7901,9.0,13.0,9.0
2012,4,9,20,1,4.0,30.0,1010.0,22.0,2,0.10453567754605818,0.0,0.0,73,7902,78.0,64.0,66.0
2014,10,17,8,3,5.0,75.0,1017.0,9.0,1,0.0016646404189656786,0.0,0.0,76,7903,75.0,154.0,86.0
2010,12,28,4,4,-20.0,29.0,1017.0,-5.0,1,0.2608622463293744,0.0,0.0,15,7904,15.0,119.0,112.0
2011,3,2,13,1,-17.0,17.0,1024.0,6.0,1,0.020069204152249137,0.0,0.0,10,7905,7.0,8.0,9.0
2012,3,7,12,1,-13.0,20.0,1022.0,8.0,1,0.06940989432338913,0.0,0.0,20,7906,17.0,17.0,19.0
2010,4,18,8,1,6.0,76.0,1015.0,10.0,4,0.0016833442438978772,0.0,0.0,195,7907,174.0,183.0,168.0
2015,9,10,12,3,15.0,88.0,1023.0,17.0,1,0.035107079397736836,0.4,1.0,13,7908,14.0,14.0,8.0
2015,2,12,8,4,-12.0,42.0,1021.0,-1.0,1,0.0033479846628635557,0.0,0.0,18,7909,23.0,31.0,24.0
2013,6,20,18,2,19.0,58.0,1008.0,28.0,2,0.021752548396147015,0.0,0.0,77,7910,67.0,182.0,139.0
2011,7,17,0,2,20.0,94.0,1004.0,21.0,1,0.005854297203778173,0.0,0.0,63,7911,62.0,62.0,59.0
2014,1,10,6,4,-22.0,46.0,1031.0,-13.0,1,0.019246235855232396,0.0,0.0,47,7912,41.0,86.0,75.0
2011,10,27,20,3,6.0,81.0,1023.0,9.0,2,0.005012625081829235,0.0,0.0,224,7913,191.0,197.0,208.0
2012,11,23,7,3,-12.0,62.0,1029.0,-6.0,1,0.005854297203778173,0.0,0.0,25,7914,15.0,32.0,24.0
2011,9,13,1,3,18.0,93.0,1014.0,19.0,2,0.06942859814832134,0.0,0.0,116,7915,114.0,114.0,98.0
2014,1,15,10,4,-17.0,30.0,1033.0,-2.0,1,0.022575516693163752,0.0,0.0,52,7916,50.0,51.0,54.0
2014,4,22,7,1,3.0,54.0,1016.0,12.0,1,0.01672121948938558,0.0,0.0,104,7917,58.0,179.0,41.0
2011,9,22,8,3,7.0,51.0,1016.0,17.0,1,0.05266997100907136,0.0,0.0,46,7918,41.0,43.0,43.0
2013,5,29,15,1,-9.0,6.0,1007.0,31.0,1,0.2081735714953708,0.0,0.0,22,7919,10.0,22.0,10.0
2011,6,25,0,2,17.0,77.0,1012.0,21.0,1,0.009202281866641729,0.0,0.0,43,7920,36.0,41.0,35.0
2015,9,15,11,3,15.0,60.0,1021.0,23.0,4,0.003329280837931357,0.0,0.0,93,7921,121.0,12.0,112.0
2013,12,25,19,4,-23.0,14.0,1030.0,1.0,1,0.14048442906574396,0.0,0.0,32,7922,22.0,16.0,24.0
2015,11,7,20,3,-2.0,86.0,1029.0,4.0,3,0.07442251940521837,0.0,0.0,24,7923,26.0,16.0,22.0
2014,10,8,18,3,14.0,87.0,1017.0,16.0,3,0.003329280837931357,0.0,0.0,396,7924,331.0,361.0,371.0
2012,1,1,9,4,-16.0,35.0,1036.0,-3.0,3,0.05182829888712242,0.0,0.0,21,7925,17.0,17.0,14.0
2015,9,17,1,3,16.0,93.0,1018.0,17.0,3,0.0016646404189656786,0.0,0.0,151,7926,166.0,12.0,153.0
2014,8,15,21,2,19.0,83.0,1006.0,22.0,4,0.004993921256897036,0.0,0.0,28,7927,40.0,28.0,26.0
2015,2,10,21,4,-13.0,36.0,1014.0,0.0,3,0.0066959693257271115,0.0,0.0,186,7928,195.0,219.0,180.0
2014,9,9,18,3,14.0,44.0,1009.0,27.0,2,0.020910876274198072,0.0,0.0,46,7929,42.0,47.0,44.0
2014,3,29,18,1,-1.0,24.0,1011.0,20.0,2,0.0033479846628635557,0.0,0.0,27,7930,31.0,32.0,26.0
2011,5,23,6,1,8.0,67.0,1013.0,14.0,2,0.015898251192368842,0.0,0.0,123,7931,117.0,123.0,118.0
2015,10,13,10,3,3.0,28.0,1022.0,22.0,1,0.04851772187412326,0.0,0.0,16,7932,23.0,8.0,21.0
2010,11,22,9,3,-11.0,32.0,1023.0,4.0,1,0.010043953988590667,0.0,0.0,46,7933,42.0,48.0,40.0
2015,10,7,14,3,17.0,61.0,1012.0,25.0,2,0.0033479846628635557,0.0,0.0,220,7934,273.0,69.0,272.0
2015,4,11,7,1,8.0,81.0,1020.0,11.0,2,0.014214906948470963,26.775775136867406,27.046892776071576,219,7935,234.0,237.0,234.0
2010,9,10,2,3,16.0,82.0,1009.0,19.0,3,0.005012625081829235,0.0,0.0,200,7936,204.0,188.0,185.0
2012,3,5,8,1,-4.0,92.0,1015.0,-3.0,3,0.0016646404189656786,0.0,0.0,182,7937,162.0,167.0,162.0
2015,8,14,22,2,19.0,78.0,1004.0,23.0,4,0.009164874216777332,0.0,0.0,49,7938,53.0,41.0,34.0
2013,12,3,8,4,-12.0,39.0,1023.0,0.0,3,0.0033479846628635557,0.0,0.0,73,7939,40.0,58.0,54.0
2011,10,10,8,3,10.0,63.0,1026.0,17.0,1,0.0033479846628635557,0.0,0.0,75,7940,78.0,81.0,71.0
2015,2,8,17,4,-27.0,10.0,1033.0,1.0,2,0.0066959693257271115,0.0,0.0,37,7941,45.0,37.0,45.0
2015,5,30,5,1,14.0,93.0,1008.0,15.0,1,0.01672121948938558,0.0,0.0,72,7942,88.0,83.0,80.0
2010,12,5,21,4,-14.0,25.0,1030.0,4.0,1,0.14459927055082766,0.0,0.0,8,7943,7.0,9.0,7.0
2014,11,11,16,3,-8.0,23.0,1018.0,12.0,1,0.16973721125970262,0.0,0.0,7,7944,6.0,7.0,4.0
2011,1,2,5,4,-18.0,41.0,1037.0,-7.0,3,0.0150378752454877,0.0,0.0,14,7945,9.0,12.0,13.0
2013,5,1,6,1,2.0,65.0,1018.0,8.0,1,0.0016646404189656786,0.0,0.0,83,7946,34.0,54.0,27.0
2013,5,4,21,1,4.0,34.0,1016.0,20.0,2,0.10616291031515945,0.0,0.0,80,7947,78.0,73.0,74.0
2012,8,21,14,2,10.0,30.0,1013.0,29.0,4,0.009202281866641729,0.0,0.0,8,7948,10.0,9.0,7.0
2010,12,1,22,4,-2.0,86.0,1012.0,0.0,1,0.01672121948938558,0.0,0.0,275,7949,232.0,245.0,228.0
2015,6,16,18,2,14.0,31.0,1001.0,33.0,2,0.005854297203778173,0.0,0.0,69,7950,164.0,78.0,79.0
2011,6,3,11,2,-1.0,15.0,1005.0,27.0,1,0.04681567380529319,0.0,0.0,9,7951,9.0,11.0,8.0
2013,3,30,20,1,0.0,70.0,1022.0,5.0,2,0.0836060974469279,0.0,0.0,107,7952,91.0,93.0,72.0
2012,12,29,19,4,-21.0,27.0,1031.0,-5.0,1,0.27505844945291313,0.0,0.0,18,7953,16.0,14.0,12.0
2012,5,22,18,1,12.0,39.0,1007.0,27.0,2,0.07606845599925185,0.0,0.0,58,7954,55.0,51.0,57.0
2012,2,8,6,4,-25.0,30.0,1028.0,-11.0,1,0.25165996446273264,0.0,0.0,9,7955,10.0,7.0,9.0
